Accounting Variable,2020-09-26,2021-09-25,2022-09-24,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28,2025-03-29
Revenue,274515000000.0,365817000000.0,394328000000.0,383285000000.0,119575000000.0,90753000000.0,85777000000.0,391035000000.0,124300000000.0,95359000000.0
OperatingIncome,66288000000.0,108949000000.0,119437000000.0,114301000000.0,40373000000.0,27900000000.0,25352000000.0,123216000000.0,42832000000.0,29589000000.0
Equity(BV),65339000000.0,63090000000.0,50672000000.0,62146000000.0,74100000000.0,74194000000.0,66708000000.0,56950000000.0,66758000000.0,66796000000.0
ShortTermDebt(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebtWithoutLease(BV),98667000000.0,109106000000.0,98959000000.0,95281000000.0,95088000000.0,91831000000.0,86196000000.0,85750000000.0,83956000000.0,78566000000.0
LongTermLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebt(BV),98667000000.0,109106000000.0,98959000000.0,95281000000.0,95088000000.0,91831000000.0,86196000000.0,85750000000.0,83956000000.0,78566000000.0
Debt(BV),98667000000.0,109106000000.0,98959000000.0,95281000000.0,95088000000.0,91831000000.0,86196000000.0,85750000000.0,83956000000.0,78566000000.0
Cash,38016000000.0,34940000000.0,23646000000.0,29965000000.0,40760000000.0,32695000000.0,25565000000.0,29943000000.0,30299000000.0,28162000000.0
Tax,9680000000.0,14527000000.0,19300000000.0,16741000000.0,6407000000.0,4422000000.0,4046000000.0,29749000000.0,6254000000.0,4530000000.0
LeaseDueThisYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeaseDueYearOne,1493000000.0,1629000000.0,1758000000.0,1719000000.0,0.0,0.0,0.0,1820000000.0,0.0,0.0
LeaseDueYearTwo,1461000000.0,1560000000.0,1742000000.0,1875000000.0,0.0,0.0,0.0,1914000000.0,0.0,0.0
LeaseDueYearThree,1317000000.0,1499000000.0,1677000000.0,1732000000.0,0.0,0.0,0.0,1674000000.0,0.0,0.0
LeaseDueYearFour,1068000000.0,1251000000.0,1382000000.0,1351000000.0,0.0,0.0,0.0,1360000000.0,0.0,0.0
LeaseDueYearFive,960000000.0,1061000000.0,1143000000.0,1181000000.0,0.0,0.0,0.0,1187000000.0,0.0,0.0
LeaseDueAfterYearFive,3845000000.0,5187000000.0,5080000000.0,5983000000.0,0.0,0.0,0.0,5563000000.0,0.0,0.0
NetIncome,57411000000.0,94680000000.0,99803000000.0,96995000000.0,33916000000.0,23636000000.0,21448000000.0,93736000000.0,36330000000.0,24780000000.0
CurrentAssets,143713000000.0,134836000000.0,135405000000.0,143566000000.0,143692000000.0,128416000000.0,125435000000.0,152987000000.0,133240000000.0,118674000000.0
CurrentLiabilities,105392000000.0,125481000000.0,153982000000.0,145308000000.0,133973000000.0,123822000000.0,131624000000.0,176392000000.0,144365000000.0,144571000000.0
TotalLiability,258549000000.0,287912000000.0,302083000000.0,290437000000.0,279414000000.0,263217000000.0,264904000000.0,308030000000.0,277327000000.0,264437000000.0
TotalAsset,323888000000.0,351002000000.0,352755000000.0,352583000000.0,353514000000.0,337411000000.0,331612000000.0,364980000000.0,344085000000.0,331233000000.0
Inventory,4061000000.0,6580000000.0,4946000000.0,6331000000.0,6511000000.0,6232000000.0,6165000000.0,7286000000.0,6911000000.0,6269000000.0
