Accounting Variable,2021-01-31,2022-01-30,2023-01-29,2024-01-28,2024-04-28,2024-07-28,2024-10-27,2025-04-27
Revenue,16675000000.0,26914000000.0,26974000000.0,60922000000.0,26044000000.0,30040000000.0,35082000000.0,44062000000.0
OperatingIncome,4532000000.0,10041000000.0,4224000000.0,32972000000.0,16909000000.0,18642000000.0,21869000000.0,21638000000.0
Equity(BV),16893000000.0,26612000000.0,22101000000.0,42978000000.0,49142000000.0,58157000000.0,65899000000.0,83843000000.0
ShortTermDebt(BV),999000000.0,0.0,1250000000.0,1250000000.0,1250000000.0,0.0,0.0,0.0
LongTermDebtWithoutLease(BV),5964000000.0,10946000000.0,9703000000.0,8459000000.0,8460000000.0,8461000000.0,8462000000.0,8464000000.0
LongTermLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebt(BV),5964000000.0,10946000000.0,9703000000.0,8459000000.0,8460000000.0,8461000000.0,8462000000.0,8464000000.0
Debt(BV),6963000000.0,10946000000.0,10953000000.0,9709000000.0,9710000000.0,8461000000.0,8462000000.0,8464000000.0
Cash,847000000.0,1990000000.0,3389000000.0,7280000000.0,7587000000.0,8563000000.0,9107000000.0,15234000000.0
Tax,77000000.0,189000000.0,-187000000.0,4058000000.0,2398000000.0,2615000000.0,3007000000.0,3135000000.0
LeaseDueThisYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeaseDueYearOne,152000000.0,176000000.0,220000000.0,290000000.0,306000000.0,316000000.0,336000000.0,346000000.0
LeaseDueYearTwo,135000000.0,162000000.0,198000000.0,270000000.0,290000000.0,299000000.0,340000000.0,349000000.0
LeaseDueYearThree,115000000.0,136000000.0,180000000.0,253000000.0,270000000.0,280000000.0,320000000.0,308000000.0
LeaseDueYearFour,94000000.0,124000000.0,166000000.0,236000000.0,236000000.0,247000000.0,288000000.0,233000000.0
LeaseDueYearFive,86000000.0,114000000.0,144000000.0,202000000.0,0.0,0.0,0.0,0.0
LeaseDueAfterYearFive,288000000.0,288000000.0,323000000.0,288000000.0,0.0,0.0,0.0,0.0
NetIncome,4332000000.0,9752000000.0,4368000000.0,29760000000.0,14881000000.0,16599000000.0,19309000000.0,18775000000.0
CurrentAssets,16055000000.0,28829000000.0,23073000000.0,44345000000.0,53729000000.0,59633000000.0,67640000000.0,89935000000.0
CurrentLiabilities,3925000000.0,4335000000.0,6563000000.0,10631000000.0,15223000000.0,13969000000.0,16479000000.0,26542000000.0
TotalLiability,11898000000.0,17575000000.0,19081000000.0,22750000000.0,27930000000.0,27070000000.0,30114000000.0,41411000000.0
TotalAsset,28791000000.0,44187000000.0,41182000000.0,65728000000.0,77072000000.0,85227000000.0,96013000000.0,125254000000.0
Inventory,1826000000.0,2605000000.0,5159000000.0,5282000000.0,5864000000.0,6675000000.0,7654000000.0,11333000000.0
